Continente,Pais,Nome,Liga,Categoria
Europa,Inglaterra,Aston Villa,Premier League,Profissional
Europa,Inglaterra,Bournemouth,Premier League,Profissional
Europa,Inglaterra,Brentford,Premier League,Profissional
Europa,Inglaterra,Brighton,Premier League,Profissional
Europa,Inglaterra,Burnley,Premier League,Profissional
Europa,Inglaterra,Chelsea,Premier League,Profissional
Europa,Inglaterra,Crystal Palace,Premier League,Profissional
Europa,Inglaterra,Everton,Premier League,Profissional
Europa,Inglaterra,Fulham,Premier League,Profissional
Europa,Inglaterra,Leeds United,Premier League,Profissional
Europa,Inglaterra,Liverpool,Premier League,Profissional
Europa,Inglaterra,Manchester City,Premier League,Profissional
Europa,Inglaterra,Manchester United,Premier League,Profissional
Europa,Inglaterra,Newcastle United,Premier League,Profissional
Europa,Inglaterra,Nottingham Forest,Premier League,Profissional
Europa,Inglaterra,Tottenham Hotspur,Premier League,Profissional
Europa,Inglaterra,West Ham,Premier League,Profissional
Europa,Inglaterra,Wolves,Premier League,Profissional
Europa,Inglaterra,Sheffield United,Premier League,Profissional
Europa,Italia,Juventus,Serie A,Profissional
Europa,Italia,Inter de Milao,Serie A,Profissional
Europa,Italia,Milan,Serie A,Profissional
Europa,Italia,Napoli,Serie A,Profissional
Europa,Italia,Roma,Serie A,Profissional
Europa,Italia,Lazio,Serie A,Profissional
Europa,Italia,Atalanta,Serie A,Profissional
Europa,Italia,Fiorentina,Serie A,Profissional
Europa,Italia,Torino,Serie A,Profissional
Europa,Italia,Udinese,Serie A,Profissional
Europa,Italia,Sassuolo,Serie A,Profissional
Europa,Italia,Bologna,Serie A,Profissional
Europa,Italia,Monza,Serie A,Profissional
Europa,Italia,Empoli,Serie A,Profissional
Europa,Italia,Salernitana,Serie A,Profissional
Europa,Italia,Genoa,Serie A,Profissional
Europa,Italia,Verona,Serie A,Profissional
Europa,Italia,Lecce,Serie A,Profissional
Europa,Italia,Cagliari,Serie A,Profissional
Europa,Italia,Frosinone,Serie A,Profissional
Europa,Portugal,Benfica,Primeira Liga,Profissional
Europa,Portugal,Porto,Primeira Liga,Profissional
Europa,Portugal,Sporting,Primeira Liga,Profissional
Europa,Portugal,Braga,Primeira Liga,Profissional
Europa,Portugal,Guimaraes,Primeira Liga,Profissional
Europa,Portugal,Arouca,Primeira Liga,Profissional
Europa,Portugal,Casa Pia,Primeira Liga,Profissional
Europa,Portugal,Estoril,Primeira Liga,Profissional
Europa,Portugal,Famalicao,Primeira Liga,Profissional
Europa,Portugal,Gil Vicente,Primeira Liga,Profissional
Europa,Portugal,Boavista,Primeira Liga,Profissional
Europa,Portugal,Portimonense,Primeira Liga,Profissional
Europa,Portugal,Vizela,Primeira Liga,Profissional
Europa,Portugal,Chaves,Primeira Liga,Profissional
Europa,Portugal,Rio Ave,Primeira Liga,Profissional
Europa,Portugal,Moreirense,Primeira Liga,Profissional
Europa,Portugal,Farense,Primeira Liga,Profissional
Europa,Portugal,Estrela da Amadora,Primeira Liga,Profissional
Europa,Belgica,Club Brugge,Jupiler Pro League,Profissional
Europa,Belgica,Anderlecht,Jupiler Pro League,Profissional
Europa,Belgica,Genk,Jupiler Pro League,Profissional
Europa,Belgica,Gent,Jupiler Pro League,Profissional
Europa,Belgica,Royal Antwerp,Jupiler Pro League,Profissional
Europa,Belgica,Charleroi,Jupiler Pro League,Profissional
Europa,Belgica,Standard Liege,Jupiler Pro League,Profissional
Europa,Belgica,Westerlo,Jupiler Pro League,Profissional
Europa,Belgica,KV Mechelen,Jupiler Pro League,Profissional
Europa,Belgica,Sint-Truiden,Jupiler Pro League,Profissional
Europa,Belgica,Kortrijk,Jupiler Pro League,Profissional
Europa,Belgica,Eupen,Jupiler Pro League,Profissional
Europa,Belgica,Cercle Brugge,Jupiler Pro League,Profissional
Europa,Belgica,OH Leuven,Jupiler Pro League,Profissional
Europa,Belgica,RWDM,Jupiler Pro League,Profissional
Europa,Belgica,Union Saint-Gilloise,Jupiler Pro League,Profissional
Europa,Paises Baixos,Ajax,Eredivisie,Profissional
Europa,Paises Baixos,PSV,Eredivisie,Profissional
Europa,Paises Baixos,Feyenoord,Eredivisie,Profissional
Europa,Paises Baixos,AZ Alkmaar,Eredivisie,Profissional
Europa,Paises Baixos,Twente,Eredivisie,Profissional
Europa,Paises Baixos,Utrecht,Eredivisie,Profissional
Europa,Paises Baixos,Heerenveen,Eredivisie,Profissional
Europa,Paises Baixos,Sparta Rotterdam,Eredivisie,Profissional
Europa,Paises Baixos,Vitesse,Eredivisie,Profissional
Europa,Paises Baixos,Groningen,Eredivisie,Profissional
Europa,Paises Baixos,RKC Waalwijk,Eredivisie,Profissional
Europa,Paises Baixos,NEC,Eredivisie,Profissional
Europa,Paises Baixos,Go Ahead Eagles,Eredivisie,Profissional
Europa,Paises Baixos,Cambuur,Eredivisie,Profissional
Europa,Paises Baixos,Fortuna Sittard,Eredivisie,Profissional
Europa,Paises Baixos,Volendam,Eredivisie,Profissional
Europa,Paises Baixos,Excelsior,Eredivisie,Profissional
Europa,Paises Baixos,Emmen,Eredivisie,Profissional
Europa,Suica,Young Boys,Super League,Profissional
Europa,Suica,FC Zurich,Super League,Profissional
Europa,Suica,FC Basel,Super League,Profissional
Europa,Suica,St. Gallen,Super League,Profissional
Europa,Suica,Servette,Super League,Profissional
Europa,Suica,Lugano,Super League,Profissional
Europa,Suica,Grasshopper,Super League,Profissional
Europa,Suica,Winterthur,Super League,Profissional
Europa,Suica,Yverdon,Super League,Profissional
Europa,Suica,Lausanne,Super League,Profissional
Europa,Suica,Lucerne,Super League,Profissional
Europa,Suica,Bellinzona,Super League,Profissional
Europa,Austria,Red Bull Salzburg,Bundesliga,Profissional
Europa,Austria,Sturm Graz,Bundesliga,Profissional
Europa,Austria,Rapid Wien,Bundesliga,Profissional
Europa,Austria,Austria Wien,Bundesliga,Profissional
Europa,Austria,LASK,Bundesliga,Profissional
Europa,Austria,Wolfsberger AC,Bundesliga,Profissional
Europa,Austria,WSG Tirol,Bundesliga,Profissional
Europa,Austria,Austria Klagenfurt,Bundesliga,Profissional
Europa,Austria,SV Ried,Bundesliga,Profissional
Europa,Austria,TSV Hartberg,Bundesliga,Profissional
Europa,Austria,SCR Altach,Bundesliga,Profissional
Europa,Austria,Blau-Weiss Linz,Bundesliga,Profissional
Europa,Polonia,Legia Varsovia,Ekstraklasa,Profissional
Europa,Polonia,Lech Poznan,Ekstraklasa,Profissional
Europa,Polonia,Rakow,Ekstraklasa,Profissional
Europa,Polonia,Pogon Szczecin,Ekstraklasa,Profissional
Europa,Polonia,Slask Wroclaw,Ekstraklasa,Profissional
Europa,Polonia,Wisla Plock,Ekstraklasa,Profissional
Europa,Polonia,Cracovia,Ekstraklasa,Profissional
Europa,Polonia,Gornik Zabrze,Ekstraklasa,Profissional
Europa,Polonia,Zaglebie Lubin,Ekstraklasa,Profissional
Europa,Polonia,Piast Gliwice,Ekstraklasa,Profissional
Europa,Polonia,Jagiellonia,Ekstraklasa,Profissional
Europa,Polonia,Korona Kielce,Ekstraklasa,Profissional
Europa,Polonia,Radomiak Radom,Ekstraklasa,Profissional
Europa,Polonia,Warta Poznan,Ekstraklasa,Profissional
Europa,Polonia,Stal Mielec,Ekstraklasa,Profissional
Europa,Polonia,Widzew Lodz,Ekstraklasa,Profissional
Europa,Polonia,LKS Lodz,Ekstraklasa,Profissional
Europa,Polonia,Ruch Chorzow,Ekstraklasa,Profissional
Europa,Suecia,Malmo FF,Allsvenskan,Profissional
Europa,Suecia,AIK,Allsvenskan,Profissional
Europa,Suecia,Djurgardens,Allsvenskan,Profissional
Europa,Suecia,Hammarby,Allsvenskan,Profissional
Europa,Suecia,IFK Goteborg,Allsvenskan,Profissional
Europa,Suecia,Hacken,Allsvenskan,Profissional
Europa,Suecia,Elfsborg,Allsvenskan,Profissional
Europa,Suecia,Kalmar FF,Allsvenskan,Profissional
Europa,Suecia,Norrkoping,Allsvenskan,Profissional
Europa,Suecia,Sirius,Allsvenskan,Profissional
Europa,Suecia,Varbergs,Allsvenskan,Profissional
Europa,Suecia,Degerfors,Allsvenskan,Profissional
Europa,Suecia,Brommapojkarna,Allsvenskan,Profissional
Europa,Suecia,Mjallby,Allsvenskan,Profissional
Europa,Suecia,Varnamo,Allsvenskan,Profissional
Europa,Suecia,Halmstad,Allsvenskan,Profissional
Europa,Noruega,Rosenborg,Eliteserien,Profissional
Europa,Noruega,Molde,Eliteserien,Profissional
Europa,Noruega,Bodo/Glimt,Eliteserien,Profissional
Europa,Noruega,Valerenga,Eliteserien,Profissional
Europa,Noruega,Lillestrom,Eliteserien,Profissional
Europa,Noruega,Haugesund,Eliteserien,Profissional
Europa,Noruega,Odd,Eliteserien,Profissional
Europa,Noruega,Sarpsborg,Eliteserien,Profissional
Europa,Noruega,Stabaek,Eliteserien,Profissional
Europa,Noruega,Tromso,Eliteserien,Profissional
Europa,Noruega,Viking,Eliteserien,Profissional
Europa,Noruega,Sandefjord,Eliteserien,Profissional
Europa,Noruega,Kristiansund,Eliteserien,Profissional
Europa,Noruega,HamKam,Eliteserien,Profissional
Europa,Noruega,Aalesund,Eliteserien,Profissional
Europa,Noruega,Brann,Eliteserien,Profissional
Europa,Dinamarca,FC Copenhagen,Superliga,Profissional
Europa,Dinamarca,Midtjylland,Superliga,Profissional
Europa,Dinamarca,Brondby,Superliga,Profissional
Europa,Dinamarca,Nordsjaelland,Superliga,Profissional
Europa,Dinamarca,AGF Aarhus,Superliga,Profissional
Europa,Dinamarca,Odense BK,Superliga,Profissional
Europa,Dinamarca,Silkeborg,Superliga,Profissional
Europa,Dinamarca,Viborg,Superliga,Profissional
Europa,Dinamarca,Randers,Superliga,Profissional
Europa,Dinamarca,Lyngby,Superliga,Profissional
Europa,Dinamarca,Hvidovre,Superliga,Profissional
Europa,Dinamarca,Vejle,Superliga,Profissional
Europa,Finlandia,HJK,Veikkausliiga,Profissional
Europa,Finlandia,KuPS,Veikkausliiga,Profissional
Europa,Finlandia,SJK,Veikkausliiga,Profissional
Europa,Finlandia,FC Honka,Veikkausliiga,Profissional
Europa,Finlandia,Ilves,Veikkausliiga,Profissional
Europa,Finlandia,Inter Turku,Veikkausliiga,Profissional
Europa,Finlandia,VPS,Veikkausliiga,Profissional
Europa,Finlandia,Lahti,Veikkausliiga,Profissional
Europa,Finlandia,Mariehamn,Veikkausliiga,Profissional
Europa,Finlandia,EIF,Veikkausliiga,Profissional
Europa,Finlandia,KTP,Veikkausliiga,Profissional
Europa,Finlandia,AC Oulu,Veikkausliiga,Profissional
Europa,Estonia,Flora Tallinn,Meistriliiga,Profissional
Europa,Estonia,Levadia Tallinn,Meistriliiga,Profissional
Europa,Estonia,Nomme Kalju,Meistriliiga,Profissional
Europa,Estonia,Paide Linnameeskond,Meistriliiga,Profissional
Europa,Estonia,Tulevik,Meistriliiga,Profissional
Europa,Estonia,Kuressaare,Meistriliiga,Profissional
Europa,Estonia,Trans Narva,Meistriliiga,Profissional
Europa,Estonia,Tammeka,Meistriliiga,Profissional
Europa,Estonia,Parnu,Meistriliiga,Profissional
Europa,Estonia,Harju Jalgpallikool,Meistriliiga,Profissional
Europa,Russia,Zenit,Russian Premier League,Profissional
Europa,Russia,CSKA Moscou,Russian Premier League,Profissional
Europa,Russia,Spartak Moscou,Russian Premier League,Profissional
Europa,Russia,Lokomotiv Moscou,Russian Premier League,Profissional
Europa,Russia,Dynamo Moscou,Russian Premier League,Profissional
Europa,Russia,Krasnodar,Russian Premier League,Profissional
Europa,Russia,Rostov,Russian Premier League,Profissional
Europa,Russia,Rubin Kazan,Russian Premier League,Profissional
Europa,Russia,Akhmat Grozny,Russian Premier League,Profissional
Europa,Russia,Ural,Russian Premier League,Profissional
Europa,Russia,Sochi,Russian Premier League,Profissional
Europa,Russia,Orenburg,Russian Premier League,Profissional
Europa,Russia,Krylya Sovetov,Russian Premier League,Profissional
Europa,Russia,Fakel Voronezh,Russian Premier League,Profissional
Europa,Russia,Baltika,Russian Premier League,Profissional
Europa,Russia,Nizhny Novgorod,Russian Premier League,Profissional
Europa,Ucrania,Shakhtar Donetsk,Ukrainian Premier League,Profissional
Europa,Ucrania,Dynamo Kiev,Ukrainian Premier League,Profissional
Europa,Ucrania,Dnipro,Ukrainian Premier League,Profissional
Europa,Ucrania,Zorya,Ukrainian Premier League,Profissional
Europa,Ucrania,Vorskla,Ukrainian Premier League,Profissional
Europa,Ucrania,Oleksandriya,Ukrainian Premier League,Profissional
Europa,Ucrania,Kolos Kovalivka,Ukrainian Premier League,Profissional
Europa,Ucrania,Chornomorets,Ukrainian Premier League,Profissional
Europa,Ucrania,LNZ Cherkasy,Ukrainian Premier League,Profissional
Europa,Ucrania,Polissya Zhytomyr,Ukrainian Premier League,Profissional
Europa,Ucrania,Rukh Lviv,Ukrainian Premier League,Profissional
Europa,Ucrania,Minaj,Ukrainian Premier League,Profissional
Europa,Ucrania,Metalist 1925,Ukrainian Premier League,Profissional
Europa,Ucrania,Obolon Kyiv,Ukrainian Premier League,Profissional
Europa,Ucrania,Veres Rivne,Ukrainian Premier League,Profissional
Europa,Ucrania,Kryvbas Kryvyi Rih,Ukrainian Premier League,Profissional
Europa,Servia,Crvena Zvezda,SuperLiga,Profissional
Europa,Servia,Partizan,SuperLiga,Profissional
Europa,Servia,Vojvodina,SuperLiga,Profissional
Europa,Servia,Cukaricki,SuperLiga,Profissional
Europa,Servia,Radnicki Nis,SuperLiga,Profissional
Europa,Servia,Novi Pazar,SuperLiga,Profissional
Europa,Servia,TSC Backa Topola,SuperLiga,Profissional
Europa,Servia,Spartak Subotica,SuperLiga,Profissional
Europa,Servia,Napredak,SuperLiga,Profissional
Europa,Servia,Radnik Surdulica,SuperLiga,Profissional
Europa,Servia,Mladost,SuperLiga,Profissional
Europa,Servia,Javor Ivanjica,SuperLiga,Profissional
Europa,Servia,IMT Belgrade,SuperLiga,Profissional
Europa,Servia,Zeleznicar Pancevo,SuperLiga,Profissional
Europa,Servia,Zlatibor,SuperLiga,Profissional
Europa,Servia,Radnicki Kragujevac,SuperLiga,Profissional
Europa,Croacia,Dinamo Zagreb,HNL,Profissional
Europa,Croacia,Hajduk Split,HNL,Profissional
Europa,Croacia,Osijek,HNL,Profissional
Europa,Croacia,Rijeka,HNL,Profissional
Europa,Croacia,Lokomotiva,HNL,Profissional
Europa,Croacia,Slaven Belupo,HNL,Profissional
Europa,Croacia,Istra 1961,HNL,Profissional
Europa,Croacia,Varazdin,HNL,Profissional
Europa,Croacia,Gorica,HNL,Profissional
Europa,Croacia,Rudes,HNL,Profissional
Europa,Grecia,Olympiacos,Super League,Profissional
Europa,Grecia,Panathinaikos,Super League,Profissional
Europa,Grecia,AEK Athens,Super League,Profissional
Europa,Grecia,PAOK,Super League,Profissional
Europa,Grecia,Aris,Super League,Profissional
Europa,Grecia,Atromitos,Super League,Profissional
Europa,Grecia,Volos,Super League,Profissional
Europa,Grecia,OFI Crete,Super League,Profissional
Europa,Grecia,Asteras Tripolis,Super League,Profissional
Europa,Grecia,Lamia,Super League,Profissional
Europa,Grecia,Panetolikos,Super League,Profissional
Europa,Grecia,Levadiakos,Super League,Profissional
Europa,Grecia,Ionikos,Super League,Profissional
Europa,Grecia,PAS Giannina,Super League,Profissional
Europa,Turquia,Galatasaray,Super Lig,Profissional
Europa,Turquia,Fenerbahce,Super Lig,Profissional
Europa,Turquia,Besiktas,Super Lig,Profissional
Europa,Turquia,Trabzonspor,Super Lig,Profissional
Europa,Turquia,Istanbul Basaksehir,Super Lig,Profissional
Europa,Turquia,Konyaspor,Super Lig,Profissional
Europa,Turquia,Alanyaspor,Super Lig,Profissional
Europa,Turquia,Sivasspor,Super Lig,Profissional
Europa,Turquia,Gaziantep,Super Lig,Profissional
Europa,Turquia,Antalyaspor,Super Lig,Profissional
Europa,Turquia,Kayserispor,Super Lig,Profissional
Europa,Turquia,Hatayspor,Super Lig,Profissional
Europa,Turquia,Giresunspor,Super Lig,Profissional
Europa,Turquia,Umraniyespor,Super Lig,Profissional
Europa,Turquia,Ankaragucu,Super Lig,Profissional
Europa,Turquia,Adana Demirspor,Super Lig,Profissional
Europa,Turquia,Kasimpasa,Super Lig,Profissional
Europa,Turquia,Istanbulspor,Super Lig,Profissional
Europa,Turquia,Karagumruk,Super Lig,Profissional
Europa,Turquia,Samsunspor,Super Lig,Profissional
Europa,Chipre,APOEL,1a Divisao,Profissional
Europa,Chipre,Omonia,1a Divisao,Profissional
Europa,Chipre,AEL Limassol,1a Divisao,Profissional
Europa,Chipre,Anorthosis,1a Divisao,Profissional
Europa,Chipre,AEK Larnaca,1a Divisao,Profissional
Europa,Chipre,Apollon Limassol,1a Divisao,Profissional
Europa,Chipre,Pafos,1a Divisao,Profissional
Europa,Chipre,Doxa Katokopias,1a Divisao,Profissional
Europa,Chipre,Olympiakos Nicosia,1a Divisao,Profissional
Europa,Chipre,Nea Salamis,1a Divisao,Profissional
Europa,Chipre,Ethnikos Achna,1a Divisao,Profissional
Europa,Chipre,Aris Limassol,1a Divisao,Profissional
Europa,Chipre,EN Paralimni,1a Divisao,Profissional
Europa,Chipre,Karmiotissa,1a Divisao,Profissional
Europa,Israel,Maccabi Tel Aviv,Ligat Ha'Al,Profissional
Europa,Israel,Hapoel Tel Aviv,Ligat Ha'Al,Profissional
Europa,Israel,Beitar Jerusalem,Ligat Ha'Al,Profissional
Europa,Israel,Maccabi Haifa,Ligat Ha'Al,Profissional
Europa,Israel,Hapoel Haifa,Ligat Ha'Al,Profissional
Europa,Israel,Hapoel Be'er Sheva,Ligat Ha'Al,Profissional
Europa,Israel,Maccabi Netanya,Ligat Ha'Al,Profissional
Europa,Israel,Ashdod,Ligat Ha'Al,Profissional
Europa,Israel,Hapoel Hadera,Ligat Ha'Al,Profissional
Europa,Israel,Sektzia Ness Ziona,Ligat Ha'Al,Profissional
Europa,Israel,Hapoel Jerusalem,Ligat Ha'Al,Profissional
Europa,Israel,Bnei Sakhnin,Ligat Ha'Al,Profissional
Europa,Israel,Ironi Kiryat Shmona,Ligat Ha'Al,Profissional
Europa,Israel,Maccabi Bnei Reineh,Ligat Ha'Al,Profissional
Europa,Bulgaria,Ludogorets Razgrad,First League,Profissional
Europa,Bulgaria,CSKA Sofia,First League,Profissional
Europa,Bulgaria,Levski Sofia,First League,Profissional
Europa,Bulgaria,Cherno More,First League,Profissional
Europa,Bulgaria,Lokomotiv Plovdiv,First League,Profissional
Europa,Bulgaria,Botev Plovdiv,First League,Profissional
Europa,Bulgaria,Slavia Sofia,First League,Profissional
Europa,Bulgaria,Beroe,First League,Profissional
Europa,Bulgaria,Arda Kardzhali,First League,Profissional
Europa,Bulgaria,Pirin Blagoevgrad,First League,Profissional
Europa,Bulgaria,Hebar Pazardzhik,First League,Profissional
Europa,Bulgaria,Etar Veliko Tarnovo,First League,Profissional
Europa,Bulgaria,Lokomotiv Sofia,First League,Profissional
Europa,Bulgaria,Spartak Varna,First League,Profissional
Europa,Eslovaquia,Slovan Bratislava,Fortuna Liga,Profissional
Europa,Eslovaquia,DAC Dunajska Streda,Fortuna Liga,Profissional
Europa,Eslovaquia,Spartak Trnava,Fortuna Liga,Profissional
Europa,Eslovaquia,Zilina,Fortuna Liga,Profissional
Europa,Eslovaquia,Trencin,Fortuna Liga,Profissional
Europa,Eslovaquia,Podbrezova,Fortuna Liga,Profissional
Europa,Eslovaquia,Ruzomberok,Fortuna Liga,Profissional
Europa,Eslovaquia,Zemplin Michalovce,Fortuna Liga,Profissional
Europa,Eslovaquia,Skalica,Fortuna Liga,Profissional
Europa,Eslovaquia,Banska Bystrica,Fortuna Liga,Profissional
Europa,Eslovaquia,Kosice,Fortuna Liga,Profissional
Europa,Eslovaquia,Liptovsky Mikulas,Fortuna Liga,Profissional
Europa,Eslovenia,Olimpija Ljubljana,PrvaLiga,Profissional
Europa,Eslovenia,Maribor,PrvaLiga,Profissional
Europa,Eslovenia,Celje,PrvaLiga,Profissional
Europa,Eslovenia,Domzale,PrvaLiga,Profissional
Europa,Eslovenia,Bravo,PrvaLiga,Profissional
Europa,Eslovenia,Koper,PrvaLiga,Profissional
Europa,Eslovenia,Aluminij,PrvaLiga,Profissional
Europa,Eslovenia,Radomlje,PrvaLiga,Profissional
Europa,Eslovenia,Tabor Sezana,PrvaLiga,Profissional
Europa,Eslovenia,Rudar Velenje,PrvaLiga,Profissional
Europa,Albania,Partizani,Kategoria Superiore,Profissional
Europa,Albania,Tirana,Kategoria Superiore,Profissional
Europa,Albania,Vllaznia,Kategoria Superiore,Profissional
Europa,Albania,Kukesi,Kategoria Superiore,Profissional
Europa,Albania,Laci,Kategoria Superiore,Profissional
Europa,Albania,Teuta,Kategoria Superiore,Profissional
Europa,Albania,Skenderbeu,Kategoria Superiore,Profissional
Europa,Albania,Egnatia,Kategoria Superiore,Profissional
Europa,Albania,Erzeni,Kategoria Superiore,Profissional
Europa,Albania,Dinamo Tirana,Kategoria Superiore,Profissional
Europa,Montenegro,Buducnost Podgorica,First League,Profissional
Europa,Montenegro,Sutjeska,First League,Profissional
Europa,Montenegro,Decic,First League,Profissional
Europa,Montenegro,Petrovac,First League,Profissional
Europa,Montenegro,Jezero,First League,Profissional
Europa,Montenegro,Mornar,First League,Profissional
Europa,Montenegro,Arsenal Tivat,First League,Profissional
Europa,Montenegro,Rudar Pljevlja,First League,Profissional
Europa,Montenegro,Iskra,First League,Profissional
Europa,Montenegro,Jedinstvo,First League,Profissional
Europa,Macedonia,Shkupi,First League,Profissional
Europa,Macedonia,Shkendija,First League,Profissional
Europa,Macedonia,Rabotnicki,First League,Profissional
Europa,Macedonia,Sileks,First League,Profissional
Europa,Macedonia,Bregalnica,First League,Profissional
Europa,Macedonia,Struga,First League,Profissional
Europa,Macedonia,Tikves,First League,Profissional
Europa,Macedonia,Vardar,First League,Profissional
Europa,Macedonia,Gostivar,First League,Profissional
Europa,Macedonia,Voska Sport,First League,Profissional
Europa,Kosovo,Ballkani,Superliga,Profissional
Europa,Kosovo,Drita,Superliga,Profissional
Europa,Kosovo,Gjilani,Superliga,Profissional
Europa,Kosovo,Prishtina,Superliga,Profissional
Europa,Kosovo,Llapi,Superliga,Profissional
Europa,Kosovo,Malisheva,Superliga,Profissional
Europa,Kosovo,Dukagjini,Superliga,Profissional
Europa,Kosovo,Feronikeli,Superliga,Profissional
Europa,Kosovo,Trepca 89,Superliga,Profissional
Europa,Kosovo,Vushtrria,Superliga,Profissional
Europa,Moldavia,Sheriff Tiraspol,Super Liga,Profissional
Europa,Moldavia,Petrocub,Super Liga,Profissional
Europa,Moldavia,Milsami,Super Liga,Profissional
Europa,Moldavia,Zimbru,Super Liga,Profissional
Europa,Moldavia,Dacia Buiucani,Super Liga,Profissional
Europa,Moldavia,Sfintul Gheorghe,Super Liga,Profissional
Europa,Moldavia,Floresti,Super Liga,Profissional
Europa,Moldavia,CSF Balti,Super Liga,Profissional
Europa,Moldavia,Dinamo-Auto,Super Liga,Profissional
Europa,Moldavia,Sucleia,Super Liga,Profissional
Europa,Georgia,Dinamo Tbilisi,Erovnuli Liga,Profissional
Europa,Georgia,Saburtalo,Erovnuli Liga,Profissional
Europa,Georgia,Torpedo Kutaisi,Erovnuli Liga,Profissional
Europa,Georgia,Dila Gori,Erovnuli Liga,Profissional
Europa,Georgia,Locomotive Tbilisi,Erovnuli Liga,Profissional
Europa,Georgia,Samgurali,Erovnuli Liga,Profissional
Europa,Georgia,Samtredia,Erovnuli Liga,Profissional
Europa,Georgia,Shukura,Erovnuli Liga,Profissional
Europa,Georgia,Gagra,Erovnuli Liga,Profissional
Europa,Georgia,Telavi,Erovnuli Liga,Profissional
Europa,Armenia,Pyunik,Premier League,Profissional
Europa,Armenia,Ararat-Armenia,Premier League,Profissional
Europa,Armenia,Urartu,Premier League,Profissional
Europa,Armenia,Alashkert,Premier League,Profissional
Europa,Armenia,Noah,Premier League,Profissional
Europa,Armenia,Van,Premier League,Profissional
Europa,Armenia,Shirak,Premier League,Profissional
Europa,Armenia,BKMA Yerevan,Premier League,Profissional
Europa,Armenia,West Armenia,Premier League,Profissional
Europa,Armenia,Ararat,Premier League,Profissional
Europa,Letonia,Riga FC,Virsliga,Profissional
Europa,Letonia,RFS,Virsliga,Profissional
Europa,Letonia,Liepaja,Virsliga,Profissional
Europa,Letonia,Valmiera,Virsliga,Profissional
Europa,Letonia,Auda,Virsliga,Profissional
Europa,Letonia,Metta,Virsliga,Profissional
Europa,Letonia,Daugavpils,Virsliga,Profissional
Europa,Letonia,Tukums 2000,Virsliga,Profissional
Europa,Letonia,Jelgava,Virsliga,Profissional
Europa,Letonia,Grobina,Virsliga,Profissional
